,completitud
uid,1.0
titulo,1.0
dueño,1.0
uid_del_dueño,1.0
etapa_de_publicación,1.0
estado_de_aprobación,1.0
público,1.0
origen,1.0
tipo,1.0
descargas,1.0
access_url,1.0
fecha_de_última_actualización_de_metadatos_(utc),1.0
fecha_de_creación_(utc),1.0
fecha_de_última_actualización_de_datos_(utc),1.0
vistas,1.0
recurso_derivado,1.0
dominio,1.0
api,0.926082919543014
descripción,0.8716644463283678
etiqueta,0.7057042509385976
información_de_datos:_idioma,0.6188688385612208
información_de_la_entidad:_nombre_de_la_entidad,0.6188688385612208
información_de_datos:_frecuencia_de_actualización,0.6188688385612208
información_de_la_entidad:_departamento,0.617980703241694
información_de_la_entidad:_orden,0.617980703241694
información_de_la_entidad:_municipio,0.617980703241694
información_de_datos:_cobertura_geográfica,0.6178595938799403
categoría,0.6151951879213596
información_de_la_entidad:_área_o_dependencia,0.6085341730249082
información_de_la_entidad:_sector,0.5919825602519074
atribución,0.5822736264179887
número_de_columnas,0.5691534455613418
licencia,0.5350611602276856
información_de_datos:_fecha_emisión_(aaaa_mm_dd),0.5304388195874208
número_de_filas,0.44336118848653666
enlace_de_atribución,0.39661297484962255
common_core:_publisher,0.306810383109281
common_core:_unique_identifier,0.306810383109281
common_core:_public_access_level,0.306810383109281
common_core:_last_update,0.306810383109281
common_core:_contact_email,0.3067498284284042
common_core:_departamento,0.3059626175770054
correo_electrónico_de_contacto,0.3058415082152517
common_core:_homepage,0.29849420693552947
common_core:_license,0.28652456501554235
common_core:_issued,0.257619797343668
common_core:_theme,0.2511808162770982
etiqueta_de_las_filas,0.2454483064874248
common_core:_category,0.23022889669371444
uid_del_conjunto_de_datos_superior,0.19383553348673851
información_de_datos:_url_documentación,0.09492955472124662
common_core:_municipio,0.05363126236324735
nombre_del_recurso_publicado,0.03364821767389286
uid_del_recurso_publicado,0.03364821767389286
información_de_datos:_fecha_emisión_(dd/mm/aaaa),0.03276008235436599
información_de_la_entidad:_autor,0.00024221872350732712
información_de_la_entidad:_storage,0.0
